"Notes"	"County"	"County Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	293953	7.8
	"Albany County, NY"	"36001"	"2017"	"2017"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	24	293953	8.2
	"Albany County, NY"	"36001"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	28	291791	9.6
	"Albany County, NY"	"36001"	"2018"	"2018"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	18	291791	Unreliable
	"Albany County, NY"	"36001"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	290302	10.7
	"Albany County, NY"	"36001"	"2019"	"2019"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	24	290302	8.3
	"Albany County, NY"	"36001"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	57	288925	19.7
	"Albany County, NY"	"36001"	"2020 "	"2020"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	288925	8.0
	"Bronx County, NY"	"36005"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	346	1365105	25.3
	"Bronx County, NY"	"36005"	"2017"	"2017"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	12	1365105	Unreliable
	"Bronx County, NY"	"36005"	"2017"	"2017"	"All other drug-induced causes"	"D9"	44	1365105	3.2
	"Bronx County, NY"	"36005"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	381	1329693	28.7
	"Bronx County, NY"	"36005"	"2018"	"2018"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	11	1329693	Unreliable
	"Bronx County, NY"	"36005"	"2018"	"2018"	"All other drug-induced causes"	"D9"	40	1329693	3.0
	"Bronx County, NY"	"36005"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	397	1318008	30.1
	"Bronx County, NY"	"36005"	"2019"	"2019"	"All other drug-induced causes"	"D9"	25	1318008	1.9
	"Bronx County, NY"	"36005"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	544	1303496	41.7
	"Bronx County, NY"	"36005"	"2020 "	"2020"	"All other drug-induced causes"	"D9"	28	1303496	2.1
	"Broome County, NY"	"36007"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	63	183577	34.3
	"Broome County, NY"	"36007"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	181617	21.5
	"Broome County, NY"	"36007"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	40	180602	22.1
	"Broome County, NY"	"36007"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	75	179877	41.7
	"Cattaraugus County, NY"	"36009"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	72917	Unreliable
	"Cattaraugus County, NY"	"36009"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	72568	Unreliable
	"Cattaraugus County, NY"	"36009"	"2019"	"2019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	71957	Unreliable
	"Cattaraugus County, NY"	"36009"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	71578	Unreliable
	"Cayuga County, NY"	"36011"	"2017"	"2017"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	22	73844	29.8
	"Cayuga County, NY"	"36011"	"2018"	"2018"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	73299	Unreliable
	"Cayuga County, NY"	"36011"	"2020 "	"2020"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	31	72333	42.9
