"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"White"	"2106-3"	"2020 "	"2020"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	26667	Unreliable
	"Albany County, NY"	"36001"	"White"	"2106-3"	"2020 "	"2020"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	11	26698	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2017"	"2017"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	12	109023	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2017"	"2017"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	84501	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2017"	"2017"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	39	88068	44.3
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2017"	"2017"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	41	75336	54.4
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2018"	"2018"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	15	106290	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2018"	"2018"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	10	82329	Unreliable
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2018"	"2018"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	46	83707	55.0
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"2018"	"2018"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	47	76315	61.6
