"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	13	120000	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	14	116193	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	115245	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	10	115245	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	19	114422	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	11	114422	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	27	113040	23.9
	"Albany County, NY"	"36001"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	11	113040	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	38	360555	10.5
	"Bronx County, NY"	"36005"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	45	351077	12.8
	"Bronx County, NY"	"36005"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	10	351077	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	42	350786	12.0
	"Bronx County, NY"	"36005"	"Female"	"F"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	48	342475	14.0
	"Bronx County, NY"	"36005"	"Female"	"F"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	43	346845	12.4
	"Bronx County, NY"	"36005"	"Female"	"F"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	53	338053	15.7
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	58	344984	16.8
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	79	330481	23.9
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	78	312776	24.9
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"Black or African American"	"2054-5"	"All other drug-induced causes"	"D9"	14	312776	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	184	320533	57.4
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	18	320533	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	102	305040	33.4
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"Black or African American"	"2054-5"	"All other drug-induced causes"	"D9"	11	305040	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	186	311206	59.8
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	14	311206	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	115	303282	37.9
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	186	307522	60.5
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"Black or African American"	"2054-5"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	145	302355	48.0
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	257	298917	86.0
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"White"	"2106-3"	"All other drug-induced causes"	"D9"	14	298917	Unreliable
	"Broome County, NY"	"36007"	"Female"	"F"	"2017"	"2017"	"White"	"2106-3"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	23	86367	26.6
