"Notes"	"County"	"County Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Albany County, NY"	"36001"	"Female"	"F"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	18180	Unreliable
	"Albany County, NY"	"36001"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	16828	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	101033	19.8
	"Bronx County, NY"	"36005"	"Female"	"F"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	101033	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	88346	22.6
	"Bronx County, NY"	"36005"	"Female"	"F"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	97287	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	23	96731	23.8
	"Bronx County, NY"	"36005"	"Female"	"F"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	88517	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	88517	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	93740	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	16	93740	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	15	89351	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	113885	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	21	95003	22.1
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	95003	Unreliable
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	26	90900	28.6
	"Bronx County, NY"	"36005"	"Female"	"F"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	28	89805	31.2
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	33	115163	28.7
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	115163	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	29	86155	33.7
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	11	86155	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	68	86166	78.9
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	86166	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	51	72018	70.8
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	72018	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2017"	"2017"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	42925	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	27	111532	24.2
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	111532	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	31	84092	36.9
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	13	84092	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	72	82603	87.2
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	18	82603	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	55	72371	76.0
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	72371	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2018"	"2018"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	43452	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	19	110812	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	12	110812	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	83339	43.2
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	83339	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	61	80025	76.2
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	20	80025	25.0
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	66	73184	90.2
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	33	73184	45.1
	"Bronx County, NY"	"36005"	"Male"	"M"	"2019"	"2019"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	20	44895	44.5
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"15-24 years"	"15-24"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	95508	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"15-24 years"	"15-24"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	10	95508	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	40	108438	36.9
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	108438	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	36	82826	43.5
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	14	82826	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	87	77241	112.6
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	23	77241	29.8
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	112	73357	152.7
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"55-64 years"	"55-64"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	19	73357	Unreliable
	"Bronx County, NY"	"36005"	"Male"	"M"	"2020 "	"2020"	"65-74 years"	"65-74"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	24	46233	51.9
	"Broome County, NY"	"36007"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	9919	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	18280	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2017"	"2017"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	21780	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2018"	"2018"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	18638	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2018"	"2018"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	11	17324	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2020 "	"2020"	"35-44 years"	"35-44"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	16	17632	Unreliable
	"Dutchess County, NY"	"36027"	"Male"	"M"	"2020 "	"2020"	"45-54 years"	"45-54"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	10	19497	Unreliable
	"Erie County, NY"	"36029"	"Female"	"F"	"2017"	"2017"	"25-34 years"	"25-34"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	15	65244	Unreliable
